,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,actual_left,predicted_left,turnover_probability,risk_score_percent,risk_zone,retention_strategy
1082,0.77,0.83,4,245,5,0,1,0,sales,medium,1,1,0.915,91.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6153,0.81,0.5,4,170,4,0,0,0,support,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9213,0.92,0.94,3,234,2,1,0,0,IT,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11002,0.21,0.7,3,238,8,0,0,0,technical,medium,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1430,0.37,0.52,2,140,3,0,1,0,management,medium,1,1,0.985,98.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
4834,0.7,0.98,4,176,5,0,0,0,technical,low,0,0,0.17,17.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4231,0.52,0.45,2,145,3,0,0,0,technical,low,0,0,0.485,48.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
4486,0.89,0.78,4,223,3,0,0,0,product_mng,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2690,0.3,0.86,3,276,5,1,0,0,accounting,low,0,0,0.13,13.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5788,0.21,0.99,6,165,4,1,0,0,RandD,low,0,0,0.255,25.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
1892,0.46,0.55,2,147,3,0,1,0,product_mng,medium,1,1,0.98,98.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
4315,0.5,0.64,4,213,4,0,0,0,support,low,0,0,0.205,20.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
10200,0.5,0.8,4,261,3,0,0,0,technical,high,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8154,0.57,0.69,3,154,2,0,0,0,RandD,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11652,0.44,0.66,6,134,8,0,0,0,RandD,high,0,0,0.165,16.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10254,0.92,0.88,4,151,3,0,0,0,technical,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
703,0.74,0.54,5,216,3,0,1,0,sales,low,1,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1784,0.41,0.51,2,156,3,0,1,0,technical,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11422,0.81,0.77,3,221,2,0,0,0,technical,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1900,0.14,0.75,4,277,5,1,1,0,sales,medium,1,0,0.11,11.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5364,0.83,0.7,5,168,3,0,0,0,hr,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4192,0.49,0.71,3,255,2,1,0,0,accounting,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3613,0.61,0.94,3,224,4,0,0,0,technical,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7866,0.86,0.59,4,165,3,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11443,0.82,0.51,2,268,2,0,0,0,management,high,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5039,0.58,0.9,3,151,3,0,0,0,sales,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10750,0.58,0.77,4,140,3,0,0,0,RandD,low,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9373,0.73,0.74,3,221,3,0,0,0,RandD,high,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3794,0.69,0.93,3,233,3,0,0,0,IT,medium,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9154,0.79,0.83,4,250,2,0,0,0,management,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8663,0.77,0.5,5,170,2,0,0,0,support,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2445,0.72,0.79,3,149,3,0,0,0,sales,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11680,0.51,0.76,4,140,3,0,0,0,support,low,0,0,0.07,7.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8797,0.31,1.0,4,177,5,0,0,0,accounting,medium,0,0,0.14,14.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
495,0.1,0.82,6,244,4,0,1,0,technical,medium,1,1,0.975,97.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3072,0.97,0.81,3,249,2,0,0,0,sales,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
213,0.45,0.46,2,153,3,0,1,0,management,low,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7401,0.21,0.81,4,227,5,0,0,0,marketing,medium,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8303,0.83,0.51,4,215,3,0,0,0,product_mng,high,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2117,0.73,0.52,4,162,3,0,0,0,product_mng,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8474,0.77,0.68,3,225,2,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5322,0.78,0.53,3,156,3,0,0,0,product_mng,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7406,0.77,0.49,3,265,3,0,0,0,sales,medium,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1623,0.1,0.86,6,288,4,0,1,0,sales,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9050,0.18,0.95,6,248,3,0,0,0,support,low,0,0,0.415,41.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
9370,0.18,0.85,5,192,3,0,0,0,product_mng,high,0,0,0.29,29.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
4915,0.83,0.95,3,255,3,0,0,0,technical,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4867,0.8,0.93,3,260,3,0,0,0,product_mng,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2496,0.9,0.89,5,249,3,1,0,0,IT,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
675,0.11,0.82,6,270,4,0,1,0,product_mng,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
260,0.46,0.46,2,154,3,0,1,0,accounting,medium,1,1,0.955,95.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
5093,0.92,0.55,3,259,3,0,0,0,product_mng,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9346,0.7,0.66,4,168,3,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6300,0.94,0.66,5,219,3,0,0,0,support,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7255,0.23,0.94,4,142,4,0,0,0,sales,medium,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5430,0.66,0.5,4,263,3,0,0,0,sales,high,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1450,0.55,1.0,6,136,3,0,1,0,support,low,1,0,0.335,33.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
9844,0.74,0.85,3,176,3,0,0,0,management,medium,0,0,0.09,9.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4957,0.74,0.58,4,233,4,0,0,0,marketing,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11776,0.53,0.91,4,167,4,0,0,0,management,high,0,0,0.425,42.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
5361,0.64,0.61,3,221,3,0,0,0,accounting,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2627,0.81,0.63,4,108,6,0,0,0,technical,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2350,0.65,0.6,5,227,3,0,0,0,RandD,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2743,0.82,0.55,3,217,4,1,0,0,technical,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7305,0.53,0.68,3,258,3,0,0,0,IT,low,0,0,0.095,9.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5628,0.49,0.48,2,186,2,0,0,0,IT,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
529,0.4,0.56,2,137,3,0,1,0,accounting,medium,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3630,0.71,0.77,2,255,3,0,0,0,support,medium,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
980,0.85,0.97,4,266,6,0,1,0,product_mng,low,1,1,0.95,95.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7854,1.0,0.59,3,253,3,0,0,0,support,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3211,0.74,0.59,3,274,3,0,0,0,sales,medium,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10927,0.78,0.6,4,143,2,0,0,1,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8468,0.6,0.52,5,140,3,0,0,0,support,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11091,0.96,0.85,4,247,3,0,0,0,sales,high,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1187,0.36,0.51,2,155,3,0,1,0,support,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7899,0.23,0.78,4,154,6,1,0,0,support,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10699,0.56,0.41,5,152,3,0,0,0,sales,medium,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7338,0.3,0.47,6,141,6,0,0,0,sales,low,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4615,0.54,0.81,4,264,4,0,0,0,technical,medium,0,0,0.095,9.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2030,0.52,0.88,3,179,2,1,0,0,support,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8446,0.66,0.38,4,145,5,0,0,0,technical,medium,0,0,0.07,7.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7079,0.94,0.58,3,135,3,0,0,0,IT,low,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10899,0.47,0.46,2,152,2,0,0,0,IT,medium,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6220,0.74,0.66,3,257,3,0,0,0,support,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8166,0.68,0.48,5,113,2,0,0,0,marketing,low,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
801,0.85,0.82,5,264,6,0,1,0,technical,medium,1,1,0.785,78.5,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
7757,0.8,0.99,5,187,3,1,0,0,technical,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4437,0.81,0.67,4,225,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9335,0.86,0.73,3,159,3,0,0,0,hr,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9234,0.14,0.63,6,215,5,0,0,0,sales,low,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2615,0.82,0.62,4,202,2,0,0,0,accounting,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5316,0.79,0.54,4,244,3,0,0,0,management,high,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3150,0.91,0.63,4,240,3,0,0,0,accounting,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3221,0.91,0.42,2,142,3,1,0,0,sales,medium,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11498,0.93,0.74,5,248,8,1,0,0,support,low,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1642,0.38,0.51,2,138,3,0,1,0,technical,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11098,0.87,0.6,5,165,2,1,0,0,marketing,high,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6481,0.57,0.61,2,189,2,1,0,0,technical,high,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3095,0.96,0.82,4,274,3,0,0,0,support,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6104,0.7,0.98,4,146,3,0,0,0,marketing,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6248,0.19,0.63,5,206,6,0,0,0,RandD,medium,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3722,0.95,0.49,4,229,3,0,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6999,0.56,0.68,3,109,3,0,0,0,IT,low,0,0,0.085,8.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11660,0.69,0.43,5,113,8,0,0,0,technical,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10807,0.78,0.54,3,161,3,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6301,0.67,0.54,3,213,4,0,0,0,support,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7065,0.93,0.57,5,143,2,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4594,0.68,0.8,2,254,2,1,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8403,0.92,0.97,4,201,2,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11045,0.59,0.54,4,178,2,0,0,0,support,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3044,0.54,0.72,3,172,2,0,0,0,RandD,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1152,0.39,0.53,2,131,3,0,1,0,sales,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
8185,0.79,0.52,3,134,2,1,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3273,0.63,0.86,3,245,2,0,0,0,marketing,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5613,0.86,0.51,3,230,3,0,0,0,support,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6193,0.68,0.49,4,153,4,0,0,0,sales,low,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5426,0.83,0.77,2,186,2,0,0,0,sales,medium,0,0,0.07,7.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4156,0.6,0.55,4,204,3,0,0,0,technical,high,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11582,0.54,0.64,3,190,7,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
613,0.09,0.9,7,296,4,0,1,0,technical,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
5546,0.9,0.95,3,133,4,0,0,0,technical,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9313,0.7,0.74,3,212,3,0,0,0,sales,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11626,0.59,0.73,4,247,10,0,0,0,management,high,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2048,0.7,0.52,4,255,3,0,0,0,RandD,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9588,0.41,0.5,6,257,6,1,0,0,support,low,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7691,0.59,0.97,5,242,3,0,0,0,product_mng,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5695,0.59,0.7,2,153,2,0,0,0,support,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11020,0.52,0.59,5,150,2,0,0,0,sales,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11236,0.48,0.81,4,149,2,0,0,0,management,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7707,0.74,0.95,4,237,3,1,0,0,marketing,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9405,0.64,0.62,4,145,3,1,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3821,0.83,0.73,5,136,3,0,0,0,sales,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3459,1.0,0.79,5,152,4,0,0,0,hr,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
103,0.09,0.94,7,267,4,0,1,0,sales,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9885,0.57,0.48,5,221,3,0,0,0,support,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5988,0.63,0.75,4,155,3,0,0,0,technical,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7325,0.9,0.98,2,243,3,0,0,0,marketing,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9652,0.94,0.8,6,147,3,0,0,0,technical,medium,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3133,0.81,0.8,4,229,2,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9078,0.66,0.63,3,201,4,0,0,0,management,medium,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5551,0.56,0.85,5,245,3,0,0,0,IT,high,0,0,0.14,14.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2927,0.97,0.65,3,219,2,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6923,0.97,0.66,4,214,2,1,0,0,IT,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9400,0.63,0.98,4,265,3,0,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11441,0.74,0.63,3,180,3,0,0,0,management,high,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11677,0.36,0.41,3,167,10,0,0,0,support,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8077,0.78,0.66,6,105,5,1,0,0,RandD,low,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8832,0.57,0.61,3,112,5,0,0,0,IT,medium,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11813,0.57,0.99,3,222,3,1,0,1,management,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1979,0.51,0.6,7,243,5,0,1,0,technical,medium,1,0,0.29,29.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
5208,0.87,0.5,4,267,2,1,0,0,accounting,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11790,0.72,0.71,4,256,3,0,0,1,sales,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
246,0.37,0.48,2,159,3,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11125,0.75,0.85,3,250,6,0,0,0,technical,medium,0,0,0.34,34.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
4294,0.5,0.54,4,165,3,0,0,0,accounting,low,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5443,0.5,0.73,4,271,2,0,0,0,hr,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9960,0.63,0.59,3,189,3,0,0,0,technical,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5532,0.43,0.74,4,121,5,1,0,0,technical,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9395,0.68,0.54,4,165,4,0,0,0,sales,high,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10878,0.84,0.84,4,266,3,0,0,0,support,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
792,0.91,0.89,4,247,5,0,1,0,hr,low,1,1,0.945,94.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7844,0.86,0.64,4,147,2,1,0,0,product_mng,high,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1067,0.1,0.89,6,244,4,1,1,0,support,low,1,1,0.935,93.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1373,0.11,0.86,6,273,4,1,1,0,support,low,1,1,0.93,93.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6186,0.9,0.74,3,227,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
